[]
[1597880, 15090, 1760285, 744147, 904119, 1807633, 578292, 65182]
[860669, 1110612]
[3480836, -3480836] 6.25
[] 1.0
[3480836, -3480834] 5.800000000000001
[3480836, -3480835] 1.0
[3480844, 3481195] 2.0
[3480836, -3481088] 2.0
[3480849] 1.0
[3480844, -3480822] 6.0
[3480836, -3480852] 2.0
[3480844, -3480844] 1007.5
[3480844, -3481100] 8.0
[-3480848, 3480836] 0.05
[3480836, -3480849] 5.0
[3480844, 3480961] 0.4
[3480844, -3480841] 2.0
[3480836] 0.05
[-3480848, 3480831] 1.0
[-3480848, 3480844] 2.0
[-3480848, 3480841] 0.1
[3480841] 0.1
[3480841, -3481012] 1.0
[-3480876, -3480876] 1.0
[3480844] 1.0
[3480836, -3480867] 1.0
[-3480848, 3480849] 1.0
[3480844, -3480857] 7.0
[3480844, -3481111] 0.55
[3480836, -3481132] 1.0
[3480836, -3481133] 1.0
[3480849, -3481021] 1.0
[-3480845, 3481021] 0.05
[3480836, -3480870] 5.0
[3480836, -3480871] 5.0
[3480841, 3481012] 3.0
[3480876, -3480845] 0.25
[3480844, 3480925] 7.0
[3480836, -3480881] 1.0
[3480844, -3480870] 1.0
[3480844, -3480871] 1.0
[3480836, 3480925] 1.0
[-3480876] 1.0
[-3480848, 3480876] 1.0
[3480876, -3480848] 1.0
[-3480876, -3480845] 3.0
[-3480845, -3481036] 1.0
[3480844, -3480878] 4.45
[-3480845, -3480848] 5.0
[3480849, 3480860] 1.0
[3480849, 3480871] 5.0
[3480849, 3480870] 5.0
[3480844, -3481287] 1.0
[-3480845, -3480876] 7.0
[3480844, 3481288] 1.05
[3480844, 3481287] 0.8
[3480849, 3480821] 1.0
[3480841, 3480819] 2.0
[3480841, 3480821] 1.0
[3480849, 3481088] 0.45
[3480849, 3480841] 0.30000000000000004
[3480876] 1.0
[3480849, 3480844] 2.0
[3480849, -3481111] 1.0
[3480844, -3480956] 1.0
[3480876, 3480844] 2.0
[3480849, -3480851] 1.0
[3480836, 3480809] 2.0
[3480876, 3480849] 1.0
[3480849, -3480849] 62.0
[3480844, -3480962] 1.0
[3480841, -3481125] 2.0
[3480841, -3481126] 2.0
[3480844, -3480961] 2.7
[3480849, -3480871] 0.8
[3480836, 3480821] 1.0
[3480849, -3480870] 0.8
[3480836, -3480974] 1.0
[-3480848, -3480845] 0.25
[-3480845, 3480876] 4.0
[-3480848, -3480848] 1.0
[3480849, -3480881] 1.0
[-3480876, 3480841] 0.05
[3480876, 3480831] 1.0
[-3480876, 3480836] 0.1
[-3480876, 3480849] 1.0
[3480836, -3481021] 5.0
[3480876, 3480836] 0.05
[-3480876, 3480848] 1.0
[3480876, 3480841] 0.1
[-3480876, 3480844] 2.0
[3480836, 3480870] 1.0
[3480844, 3480881] 0.7000000000000001
[-3480848] 1.0
[3480841, 3480974] 1.0
[3480836, 3480871] 1.0
[3480844, -3480895] 6.0
[-3480845] 15.0
[3480876, 3480876] 1.0
[3480836, 3480844] 2.0
[3480841, -3480837] 2.0
[3480849, -3480839] 1.0
[-3480845, 3480841] 0.1
[3480844, -3481195] 0.15000000000000002
[-3480845, 3480836] 0.05
[3480849, -3480836] 1.0
[-3480845, 3480834] 0.05
[3480841, -3480841] 102.45
[-3480845, 3480848] 0.2
[-3480845, 3480849] 1.0
[3480849, -3480843] 4.8500000000000005
[-3480845, 3480844] 0.55
[-3480845, 3480842] 1.0
[3480849, -3480842] 4.8500000000000005
[-3480845, 3480843] 1.0
